delta_x,delta_y,eps_proxy
-2,-1,7.235337793392418
-1,-1,8.840424511034305
0,-1,15.016698519745256
1,-1,8.890813766247879
2,-1,7.294983058462812
3,-1,7.222967094287274
4,-1,7.264417536660134
5,-1,6.142506452219769
6,-1,6.380158342269386
7,-1,5.340450737269971
8,-1,6.23825373903456
9,-1,5.227274404480585
10,-1,5.958052501650355
11,-1,5.982050758037933
12,-1,6.6810411211672625
13,-1,2.795307432798996
14,-1,1.1215885345124248
-14,0,6.478330275183365
-13,0,3.440155859085285
-12,0,5.161059936471405
-11,0,3.753277024392848
-10,0,6.338796416359845
-9,0,4.610576165793101
-8,0,4.929425402836862
-7,0,5.008986309653937
-6,0,5.882969619595305
-5,0,5.9227839847991
-4,0,6.818249548616273
-3,0,7.003883833342547
-2,0,7.385384141988621
-1,0,15.152354599450343
0,0,781.0165397034697
1,0,15.025339393159141
2,0,7.333752259387191
3,0,6.792326558495913
4,0,7.115955736579891
5,0,6.449060785132183
6,0,6.7881818855453115
7,0,5.524808565071591
8,0,5.735850410982019
9,0,4.7255669988433615
10,0,6.214347453931251
11,0,4.37402263568761
12,0,5.970147916051032
13,0,2.3429592296255075
14,0,7.363772001262711
-14,1,7.18839167457588
-13,1,4.403131689368067
-12,1,5.550904352349727
-11,1,4.174380154977833
-10,1,5.591653493866464
-9,1,4.422943181671779
-8,1,5.898848790486966
-7,1,5.1089557668532075
-6,1,6.271366330637104
-5,1,5.995238421508778
-4,1,6.577971938672332
-3,1,7.015480262197087
-2,1,7.236759534113921
-1,1,8.813676436489212
0,1,15.57762078790228
1,1,8.87182985229118
2,1,7.286237880264726
3,1,7.270753040905417
4,1,6.801696094333727
5,1,6.583969481541785
6,1,6.421887817594319
7,1,5.248607716515437
8,1,6.659401001020973
9,1,4.46457717519303
10,1,4.822886267791727
11,1,4.4754047167755555
12,1,6.935882321594076
13,1,3.0313190961181906
14,1,4.369820357995556
-14,2,3.329629373740127
-13,2,1.8948400895631654
-12,2,5.056258308926285
-11,2,3.604624907447554
-10,2,5.709732559321766
-9,2,4.455508960904237
-8,2,5.746916850163723
-7,2,5.453479766958007
-6,2,6.383467357558072
-5,2,6.130745256233212
-4,2,6.626832726289189
-3,2,7.049851629432312
-2,2,7.548776193203226
-1,2,7.941221888442059
0,2,7.430782649294427
1,2,7.325117590681549
2,2,7.213382226306505
3,2,7.135052979331094
4,2,6.7997356834033225
5,2,6.231133929788598
6,2,6.155865571498655
7,2,5.205726870992434
8,2,5.917207679061538
9,2,5.100472250973416
10,2,5.39400595950542
11,2,4.42079436424675
12,2,6.848321643874732
13,2,5.986681214629135
14,2,4.951933495994173
-14,3,8.681616933746344
-13,3,1.8547465032004053
-12,3,6.417194515728774
-11,3,3.4370058345898173
-10,3,5.158765032540818
-9,3,4.0840451554562165
-8,3,5.532788800560274
-7,3,5.090264496453098
-6,3,5.566313504776079
-5,3,5.6515875455121245
-4,3,6.331263031134222
-3,3,6.649669662565183
-2,3,7.045514565406249
-1,3,7.676049205456227
0,3,6.889794992840904
1,3,7.184360582583845
2,3,7.056396770508918
3,3,6.49296177452057
4,3,6.811996201316137
5,3,6.203249192493283
6,3,6.119945191265157
7,3,5.509289840073582
8,3,5.171807936880271
9,3,4.828838161579928
10,3,4.9637319051833595
11,3,3.4645851011027036
12,3,7.293028366597851
13,3,3.375931947921715
14,3,5.2777249500867605
-14,4,4.608726966895139
-13,4,2.4729266626946798
-12,4,5.371773218148261
-11,4,3.9522768006755906
-10,4,6.870295592046111
-9,4,4.776027521040201
-8,4,5.453336932730095
-7,4,5.286648717703831
-6,4,6.206526185236236
-5,4,6.0666249959268
-4,4,6.749332372031943
-3,4,6.3882097411525445
-2,4,7.01676151859766
-1,4,6.90366644326228
0,4,7.0225504913327175
1,4,6.775942491820232
2,4,6.775771688509942
3,4,6.5338086532078234
4,4,6.241847791053224
5,4,5.779432273971845
6,4,6.2167853004640845
7,4,5.566594817448348
8,4,6.311991872041713
9,4,4.553468719041127
10,4,5.042103771376264
11,4,4.186834073875015
12,4,4.04188510326245
13,4,5.30094374103409
14,4,7.47280150291296
-14,5,3.2715423783016173
-13,5,3.712279447093281
-12,5,6.666607531530201
-11,5,4.861321690910616
-10,5,4.611484762901287
-9,5,4.242471496256147
-8,5,5.653070893314406
-7,5,4.664176757804992
-6,5,5.626363309089144
-5,5,5.531002934701727
-4,5,5.723988816882586
-3,5,5.933684019371659
-2,5,5.817617505992303
-1,5,6.15623295075119
0,5,6.067334941218252
1,5,6.2614066207977555
2,5,5.921757155213883
3,5,5.79499207077966
4,5,5.781710716866097
5,5,5.1421237631621
6,5,5.743481125586037
7,5,5.069183911552527
8,5,5.238366409583175
9,5,5.82306495301111
10,5,4.803582934306377
11,5,3.7453325866149476
12,5,4.801563136321757
