delta_x,delta_y,rate_pred_s
14,7,0.0002076478448554019
-14,8,0.0002158636100428775
-13,8,0.0003382207774658766
-12,8,0.0007344729075800722
-11,8,0.001015336531229864
-10,8,0.0017243081386941474
-9,8,0.002428204917727501
-8,8,0.003419259354668351
-7,8,0.005658334979733133
-6,8,0.007673098308915449
-5,8,0.011134688439054394
-4,8,0.013394913069447179
-3,8,0.01773522583940342
-2,8,0.021411097846158255
-1,8,0.02317077572768766
0,8,0.025913674236255263
1,8,0.02472964591392218
2,8,0.02129473095270167
3,8,0.017204064706654098
4,8,0.014151790249664564
5,8,0.010481830713806298
6,8,0.007522166719639989
7,8,0.0057999457647702184
8,8,0.0037486816409831258
9,8,0.0027369078068001204
10,8,0.0017178169242714843
11,8,0.0010264427998933
12,8,0.0007589359963270011
13,8,0.00031549855285345366
14,8,0.00017210732793790842
-14,9,0.00011295421254962915
-13,9,0.00028417082522587
-12,9,0.00042207071292524567
-11,9,0.0007183293914189871
-10,9,0.0011451633496975273
-9,9,0.0018485680819069121
-8,9,0.002825040443770632
-7,9,0.00376450118526378
-6,9,0.005406273604607035
-5,9,0.00743938799298442
-4,9,0.008791300652170464
-3,9,0.010466310955963926
-2,9,0.013174549364471239
-1,9,0.014600362700171432
0,9,0.016779427327398674
1,9,0.014701795938106003
2,9,0.013229295203943016
3,9,0.010697622690914038
4,9,0.009109741038873779
5,9,0.0066187158772395074
6,9,0.004868928475235527
7,9,0.0035458309322125964
8,9,0.0025868765419718785
9,9,0.0015589406430421015
10,9,0.0012403249618770976
11,9,0.0007900281134834048
12,9,0.0005656880009568551
13,9,0.00019653960616689814
14,9,8.583240374712014e-05
-14,10,7.433069932850609e-05
-13,10,0.0001911675645470655
-12,10,0.0003301516225873083
-11,10,0.0005922851562869119
-10,10,0.0007590777430786893
-9,10,0.001274849734923729
-8,10,0.001545437082543542
-7,10,0.002408909970000337
-6,10,0.003062723782374628
-5,10,0.004244402018839243
-4,10,0.004962691971449962
-3,10,0.006403188010028563
-2,10,0.007179558600688396
-1,10,0.00854974203972743
0,10,0.009230950976742513
1,10,0.008503871633362454
2,10,0.007704568195692438
3,10,0.006286918997552078
4,10,0.005332147259170026
5,10,0.0038883199366634862
6,10,0.003209529472925622
7,10,0.002454340253104886
8,10,0.001642192134313632
9,10,0.0011741374312061275
10,10,0.0008047360366756703
11,10,0.0006118338597713215
12,10,0.000364138019391987
13,10,0.00021977456872694417
14,10,3.070424977146943e-05
-14,11,6.483460970257656e-05
-13,11,0.00012122551071115939
-12,11,0.00021034756373637076
-11,11,0.0003048825741347535
-10,11,0.0005369577918777868
-9,11,0.0008348302599463722
-8,11,0.001190912457297965
-7,11,0.0015009234484321828
-6,11,0.0017619374572225483
-5,11,0.0026617170804292033
-4,11,0.00304735225182524
-3,11,0.0036328677026524095
-2,11,0.004236320377553538
-1,11,0.00512069045071097
0,11,0.005053702308717518
1,11,0.005155706670373
2,11,0.004231742109402701
3,11,0.003668618107319711
4,11,0.002997069980691751
5,11,0.002264196240928813
6,11,0.001921205769875856
7,11,0.0013948267245501701
8,11,0.0011178999807298366
9,11,0.0006996229675714428
10,11,0.0005217068452272766
11,11,0.00036685307369658626
12,11,0.0002111390191135571
13,11,6.086182780622251e-05
14,11,6.639066467043835e-05
-14,12,2.2729192154031116e-05
-13,12,6.133401681262407e-05
-12,12,0.00014174267179843452
-11,12,0.0001316694049889847
-10,12,0.0003507800406506787
-9,12,0.0004576238122640932
-8,12,0.0007134354646188681
-7,12,0.0009225391304132565
-6,12,0.0011479536500854349
-5,12,0.0013518843698313928
-4,12,0.0017285226471190273
-3,12,0.0019367560743424573
-2,12,0.002179173757688482
-1,12,0.0027271464829299666
0,12,0.0028504083176168755
1,12,0.0023522771868398486
2,12,0.0023750001838754808
3,12,0.002075604913875042
4,12,0.0017740008388632406
5,12,0.0013880918710724437
6,12,0.0011784993180731858
7,12,0.0008936459467139561
8,12,0.0007765364762544707
9,12,0.0004968991961957023
10,12,0.00033712895870172875
11,12,0.00020971404855875018
12,12,0.00013735562179456937
13,12,0.00013464572460688867
14,12,4.506176373058565e-06
-14,13,2.9132145268866094e-05
-13,13,3.615135946632129e-05
-12,13,6.679813014483712e-05
-11,13,0.0001733493757249819
-10,13,0.00021938757155091313
-9,13,0.0002636366453298235
-8,13,0.0002937286691447258
-7,13,0.00041371261003576344
-6,13,0.0007446136086013694
-5,13,0.0007179294497741377
-4,13,0.0007728555495791032
-3,13,0.001053835586760208
-2,13,0.0010934208695645754
-1,13,0.0010465527624341632
0,13,0.0012834300698132495
1,13,0.0012675025787559132
2,13,0.0012372047203946179
3,13,0.0009844896024990707
4,13,0.0008806299914959576
5,13,0.0007993600009408307
6,13,0.0005921726480039061
7,13,0.0005414848421058302
8,13,0.0003775672836042442
9,13,0.0002708525015820449
10,13,0.00022179092152252065
11,13,9.091604497079672e-05
12,13,4.6798313520083906e-05
13,13,4.562631182546796e-05
14,13,1.6477088347738727e-05
-14,14,8.178518140895227e-06
-13,14,2.0600434961229794e-05
-12,14,3.165945818672398e-05
-11,14,4.284674999840228e-05
-10,14,5.0424268614075106e-05
-9,14,0.00013086356975876108
-8,14,0.0001726071703674255
-7,14,0.0001697776191415941
-6,14,0.00024725140866377267
-5,14,0.0003195742193347534
-4,14,0.0003407685169106435
-3,14,0.00030238278325983223
-2,14,0.00038613663931114746
-1,14,0.0004286993126791638
0,14,0.0005441566017740539
1,14,0.0004381153778352116
2,14,0.00035607104277945154
3,14,0.00040252954567444746
4,14,0.00030719018259198373
5,14,0.00022612959043970596
6,14,0.00022259619050624927
7,14,0.00020140978778117883
8,14,0.0001086948697880141
9,14,7.56842105798916e-05
10,14,9.554625229898845e-05
11,14,5.621786230196968e-05
12,14,4.031377856526037e-05
13,14,1.7107016239718152e-05
14,14,0.0
