delta_x,delta_y,T_geom_m2sr
1,-2,0.004342957299237146
2,-2,0.0036298398675961422
3,-2,0.002904027463553762
4,-2,0.0022403385740366833
5,-2,0.0016135943519404268
6,-2,0.0011330247646894058
7,-2,0.0007748719502593798
8,-2,0.00052334304373698
9,-2,0.0003470027332118548
10,-2,0.00022433635937925327
11,-2,0.0001445216721224418
12,-2,8.794657359161614e-05
13,-2,4.23022802582953e-05
14,-2,1.662077911006445e-05
-14,-1,2.1848152434108716e-05
-13,-1,4.6189198834447694e-05
-12,-1,9.14085896436078e-05
-11,-1,0.00016158927343815698
-10,-1,0.0002504024382469716
-9,-1,0.00038478123152393685
-8,-1,0.0005993758073441039
-7,-1,0.0008898232843078871
-6,-1,0.001315729669422674
-5,-1,0.001889844206583136
-4,-1,0.002562417212671958
-3,-1,0.003406748568403059
-2,-1,0.004327436330288515
-1,-1,0.005148533983621066
0,-1,0.005719197741503095
1,-1,0.0051741238867168285
2,-1,0.004360251350147782
3,-1,0.0034216059698440283
4,-1,0.0025456847222141586
5,-1,0.0018340559161070776
6,-1,0.0013172354696403866
7,-1,0.0009066546004406837
8,-1,0.0006009191058114899
9,-1,0.0003994719711950115
10,-1,0.00024544548537394563
11,-1,0.00015017025924054717
12,-1,9.40090768787059e-05
13,-1,5.012326784825508e-05
14,-1,2.0195693973071322e-05
-14,0,2.2718975973501416e-05
-13,0,5.3156082768443294e-05
-12,0,9.836483341700302e-05
-11,0,0.00017793128319954272
-10,0,0.000278067784176515
-9,0,0.00043721631650689007
-8,0,0.0006515295096939705
-7,0,0.0009804633559916094
-6,0,0.0014645799717134236
-5,0,0.0020369056897779256
-4,0,0.0028070370478997025
-3,0,0.0037656738532853293
-2,0,0.004772599195763215
-1,0,0.005667763906635948
0,0,0.0063145450463878115
1,0,0.005652487842395664
2,0,0.004745884301320512
3,0,0.003787239382752903
4,0,0.002826174650107066
5,0,0.002036471071648371
6,0,0.0014038331821036166
7,0,0.001001465455998846
8,0,0.0006559911869834526
9,0,0.0004235831255023523
10,0,0.0002767841257545569
11,0,0.00017959392728712412
12,0,0.00010463335886375084
13,0,5.511919857384836e-05
14,0,1.687532993217945e-05
-14,1,1.8846040599364537e-05
-13,1,4.890839746027941e-05
-12,1,9.320113891754009e-05
-11,1,0.00016066974850310832
-10,1,0.00024196018327894475
-9,1,0.0003999791314523897
-8,1,0.000589733698434905
-7,1,0.0008883792485608499
-6,1,0.0012863090770411996
-5,1,0.0018705347034066561
-4,1,0.0026314732619871083
-3,1,0.003426878982452276
-2,1,0.004324193719473077
-1,1,0.005182102461378991
0,1,0.0057211656332256675
1,1,0.005090664602724473
2,1,0.004401861603690654
3,1,0.003426248294462882
4,1,0.0025808346294988295
5,1,0.0018413120022087426
6,1,0.0013200379703917722
7,1,0.000898545440964377
8,1,0.0005790138903326951
9,1,0.0004074293624309297
10,1,0.00025106091015859996
11,1,0.0001523158438574187
12,1,9.197057830544302e-05
13,1,4.972004809357797e-05
14,1,1.811355123100861e-05
-14,2,1.7056645693698894e-05
-13,2,4.57526026763137e-05
-12,2,8.793415697074992e-05
-11,2,0.00014273569497786387
-10,2,0.00022473876490379098
-9,2,0.0003448843275924061
-8,2,0.0005224415310947065
-7,2,0.0007793050717129164
-6,2,0.0011411571636145987
-5,2,0.0015894333855886898
-4,2,0.002191962876268215
-3,2,0.002939651300923953
-2,2,0.0036838647495681747
-1,2,0.0043634380270988465
0,2,0.004777755637726938
1,2,0.00430931448222224
2,2,0.003695816851741578
3,2,0.0029090762201092837
4,2,0.002219637700922146
5,2,0.001645845132362259
6,2,0.0011404535980113857
7,2,0.0007963518734795331
8,2,0.000532153933181086
9,2,0.00035140941864475125
10,2,0.00022215423574971447
11,2,0.00014382998423004896
12,2,8.547293174325694e-05
13,2,4.350143936776929e-05
14,2,1.8335168471732475e-05
-14,3,1.3247831196574189e-05
-13,3,4.120312098210656e-05
-12,3,7.052294667276127e-05
-11,3,0.00012843593625560268
-10,3,0.00019055209398533335
-9,3,0.00030140711628979703
-8,3,0.0004649415050375684
-7,3,0.0006634878414413919
-6,3,0.0009696931600745426
-5,3,0.0013578531718426996
-4,3,0.0018132923620862707
-3,3,0.00237227265773879
-2,3,0.002923941789628209
-1,3,0.003419758306957583
0,3,0.0037951863438845023
1,3,0.0033708672162072366
2,3,0.0029039264350550964
3,3,0.002361454576435429
4,3,0.0017848536932106207
5,3,0.0013204947840706643
6,3,0.000946734045914739
7,3,0.0006509919501689624
8,3,0.0004428874551481118
9,3,0.00030220575006745763
10,3,0.00020488466317030845
11,3,0.0001302246886329535
12,3,6.770655198532983e-05
13,3,4.2000300725654385e-05
14,3,1.5218923901209079e-05
-14,4,1.5144782555996777e-05
-13,4,3.579080744324868e-05
-12,4,6.448493361867647e-05
-11,4,0.00010789739608874962
-10,4,0.00017502725392462372
-9,4,0.0002509182042909807
-8,4,0.0003692531076885581
-7,4,0.0005233511671302183
-6,4,0.0007498552225918671
-5,4,0.0010486929458862941
-4,4,0.0013857312399715748
-3,4,0.001836539769811506
-2,4,0.0021962256037603195
-1,4,0.0025963927354421407
0,4,0.0027796864751617745
1,4,0.0025822842603272973
2,4,0.0022137317055683074
3,4,0.001811765660169948
4,4,0.0014275919289764851
5,4,0.0010522304457770352
6,4,0.0007590926476931966
7,4,0.0005339599796466597
8,4,0.0003629445417428964
9,4,0.00025573276326742246
10,4,0.00017415381284227374
11,4,0.00010389760849139477
12,4,7.283792996690179e-05
13,4,3.3293135734918864e-05
14,4,1.4029552855810183e-05
-14,5,1.0850019108403258e-05
-13,5,3.0188036957236513e-05
-12,5,5.16866405014463e-05
-11,5,9.275553443310143e-05
-10,5,0.00014552401182278828
-9,5,0.00020673608788049933
-8,5,0.000298597276295405
-7,5,0.00043436493331594706
-6,5,0.0006097751972496257
-5,5,0.0007954139146404179
-4,5,0.001058180043807669
-3,5,0.0013263592370422541
-2,5,0.0016008324197253475
-1,5,0.0018219997469680553
0,5,0.00205845686900315
1,5,0.0018849244620935339
2,5,0.0016100073693620966
3,5,0.001302029294496367
4,5,0.0010630592748063765
5,5,0.0007712421045699512
6,5,0.0005889373056488044
7,5,0.00040954343457743806
8,5,0.00029285000239344557
9,5,0.00020028646405920633
10,5,0.00013910100519891225
11,5,9.082846000429543e-05
12,5,5.14260364269281e-05
13,5,2.6733910301371282e-05
14,5,1.0897253041386256e-05
-14,6,7.5471461675099846e-06
-13,6,2.4703713923132966e-05
-12,6,4.549413600276373e-05
-11,6,7.110100145510239e-05
-10,6,0.00011259240941547744
-9,6,0.0001659102751930146
-8,6,0.00023069336148945905
-7,6,0.0003218781290381688
-6,6,0.0004428264823029118
-5,6,0.0006008848360915864
-4,6,0.0007608275944139104
-3,6,0.0009529191640456474
-2,6,0.0011393612925793325
-1,6,0.001300786260203704
0,6,0.0014223916331152027
1,6,0.0013303959844710095
2,6,0.0011207521993392361
3,6,0.0009464691594542789
4,6,0.0007643847828513674
