delta_x,delta_y,theta_mean_deg
-8,-5,51.38081972092979
-7,-5,48.808059597403926
-6,-5,46.01900999369217
-5,-5,43.13176738975045
-4,-5,40.29021019350878
-3,-5,37.69876407895427
-2,-5,35.479581815905405
-1,-5,34.049786361959264
0,-5,33.480558013870954
1,-5,34.06681554103127
2,-5,35.556249329825384
3,-5,37.633780248163745
4,-5,40.349134927152726
5,-5,43.15274579038095
6,-5,45.97131250411586
7,-5,48.775576577025056
8,-5,51.36976604016629
9,-5,53.82806301389312
10,-5,56.00859113935386
11,-5,57.99347362717146
12,-5,59.92802140101121
13,-5,61.69054270502175
14,-5,63.18641704759003
-14,-4,62.73544347940749
-13,-4,60.983040048421586
-12,-4,59.13429269097374
-11,-4,57.325734826914335
-10,-4,55.054896670192505
-9,-4,52.58878767438533
-8,-4,49.86816576832339
-7,-4,46.935300593731874
-6,-4,43.69904659602956
-5,-4,40.279757700650634
-4,-4,36.875711476536004
-3,-4,33.51695759638539
-2,-4,30.673842633753228
-1,-4,28.619454577975674
0,-4,27.93223662870435
1,-4,28.661144860476686
2,-4,30.610520810895625
3,-4,33.50886616674195
4,-4,36.79453642264483
5,-4,40.26208471121236
6,-4,43.71106108795329
7,-4,46.870896964444356
8,-4,49.90176446147662
9,-4,52.55957278558406
10,-4,54.980187618498825
11,-4,57.26550025970855
12,-4,59.25101055291068
13,-4,61.057165783953586
14,-4,62.69866346281973
-14,-3,62.26566213610028
-13,-3,60.55171509607427
-12,-3,58.634619893459
-11,-3,56.58359918471732
-10,-3,54.294879131489544
-9,-3,51.52001019647899
-8,-3,48.58576352184445
-7,-3,45.253505932158454
-6,-3,41.58960123475278
-5,-3,37.69182388984169
-4,-3,33.512604289137215
-3,-3,29.37729439500816
-2,-3,25.556310577936326
-1,-3,22.811716030349515
0,-3,21.764300301092483
1,-3,22.768767552874674
2,-3,25.553893020581725
3,-3,29.31088544469169
4,-3,33.52054811684879
5,-3,37.67120142489951
6,-3,41.60175162438514
7,-3,45.278005333966526
8,-3,48.572240240244525
9,-3,51.5272336625641
10,-3,54.21477664432858
11,-3,56.47136187209585
12,-3,58.684700635803935
13,-3,60.61747247303067
14,-3,62.27684804309959
-14,-2,62.03447246828584
-13,-2,60.16519341383773
-12,-2,58.23218911072126
-11,-2,56.061913815679155
-10,-2,53.56429643600049
-9,-2,50.748755721073834
-8,-2,47.53989924915281
-7,-2,44.00284861877953
-6,-2,39.9416802060477
-5,-2,35.47978543443444
-4,-2,30.615554425894477
-3,-2,25.558785088602843
-2,-2,20.571327157985973
-1,-2,16.69687335122598
0,-2,15.023306884030848
1,-2,16.613863304232645
2,-2,20.643588761954632
3,-2,25.51609016178809
4,-2,30.65351606077981
5,-2,35.48494148553781
6,-2,39.93174389433025
7,-2,44.017687280676355
8,-2,47.58002672398511
9,-2,50.720521959126096
10,-2,53.49660283490233
11,-2,56.04946002604715
12,-2,58.25866441608579
13,-2,60.18285717940595
14,-2,61.999857558099286
-14,-1,61.71413625471043
-13,-1,59.945222821800186
-12,-1,57.88345740483194
-11,-1,55.73483615055794
-10,-1,53.18373231846875
-9,-1,50.236989891699864
-8,-1,46.91566446384992
-7,-1,43.08848027517165
-6,-1,38.80341602636209
-5,-1,34.02804098571244
-4,-1,28.59638054121678
-3,-1,22.816576861716673
-2,-1,16.686149460016875
-1,-1,10.9923469964461
0,-1,8.169466057894759
1,-1,10.981737564766737
2,-1,16.658072869841465
3,-1,22.791264680705307
4,-1,28.595779002109097
5,-1,34.02093267646375
6,-1,38.84725277165015
7,-1,43.15466020143512
8,-1,46.921984959119015
9,-1,50.23335217295914
10,-1,53.178407734899096
11,-1,55.70277216769237
12,-1,57.97487623424541
13,-1,60.00151777250606
14,-1,61.87161545367132
-14,0,61.8722561195372
-13,0,59.96262298266413
-12,0,57.94052769503241
-11,0,55.5680209329967
-10,0,53.01170386407458
-9,0,50.03634058562449
-8,0,46.66673080006363
-7,0,42.83578198044578
-6,0,38.45811386815242
-5,0,33.49984332097807
-4,0,27.914899987217563
-3,0,21.745119982482173
-2,0,15.029266521881796
-1,0,8.135890668833362
0,0,3.9622794925640656
1,0,8.158406846725967
2,0,15.050960624005873
3,0,21.716643763874437
4,0,27.918723383156852
5,0,33.49596361618957
6,0,38.466563963563935
7,0,42.777226371512036
8,0,46.6874203716102
9,0,50.065734593928305
10,0,52.98788520142348
11,0,55.56946086957755
12,0,57.84598969262266
13,0,59.94663581824479
14,0,61.789904681844945
-14,1,61.78619591709539
-13,1,60.0154967454685
-12,1,57.92231325384549
-11,1,55.67460652039384
-10,1,53.16261087794809
-9,1,50.21806478585784
-8,1,46.88962913801358
-7,1,43.14129088901901
-6,1,38.82886583292184
-5,1,33.98799838047097
-4,1,28.6396692675706
-3,1,22.743217152593715
-2,1,16.628138111188758
-1,1,10.979011456878542
0,1,8.149883748282663
1,1,10.95225930316419
2,1,16.67004607858614
3,1,22.765879140526145
4,1,28.64534196044636
5,1,33.98254853733466
6,1,38.84598070727704
7,1,43.14613017264146
8,1,46.95638643501772
9,1,50.16899226552441
10,1,53.1607271450964
11,1,55.754764308230676
12,1,57.971926776090484
13,1,59.971034751491246
14,1,61.83451153809484
-14,2,61.967391410381694
-13,2,60.2566167751597
-12,2,58.26392394668828
-11,2,56.03546101410358
-10,2,53.52075476832657
-9,2,50.75150788599005
-8,2,47.56916886215652
