delta_x,delta_y,eps_proxy
-12,-1,0.13300890713538888
-11,-1,0.11461751913615936
-10,-1,0.15653843323204045
-9,-1,0.21355954583270598
-8,-1,0.23222416752153796
-7,-1,0.2453394670801643
-6,-1,0.30222670436286647
-5,-1,0.3579165336765875
-4,-1,0.41016771815071784
-3,-1,0.4694537790060514
-2,-1,0.49123152484926713
-1,-1,0.5432551450911504
0,-1,
1,-1,0.5504913333800527
2,-1,0.4980427872218848
3,-1,0.4821604511740301
4,-1,0.4212306807162869
5,-1,0.34862326227586204
6,-1,0.3206027135543991
7,-1,0.26614131715678674
8,-1,0.2648343697692433
9,-1,0.25691373934761624
10,-1,0.20597162267373745
11,-1,0.21013211841629217
12,-1,0.20394699094092963
13,-1,0.2012373990831506
14,-1,0.04819241916983676
-14,0,0.1335497258942595
-13,0,0.16919684768377496
-12,0,0.09778227560163671
-11,0,0.1358411642772834
-10,0,0.2040259772955642
-9,0,0.22127090625896506
-8,0,0.22097903187921306
-7,0,0.26230823067364617
-6,0,0.31948183329578456
-5,0,0.35008361065669164
-4,0,0.4104638855642879
-3,0,0.468513994045215
-2,0,0.5057466842577569
-1,0,
0,0,
1,0,
2,0,0.4991766702295691
3,0,0.44948442912634984
4,0,0.42070289664953064
5,0,0.38661210146403274
6,0,0.3414661547878364
7,0,0.3035201395268305
8,0,0.2409033708191421
9,0,0.21394405505833708
10,0,0.22669553032840467
11,0,0.2234806251013372
12,0,0.2444556890040918
13,0,0.11843779337864248
14,0,0.17806630119234598
-14,1,0.2409620958491838
-13,1,0.14635447206047317
-12,1,0.13300890713538888
-11,1,0.18147773863225233
-10,1,0.14555328002277446
-9,1,0.19268530451071217
-8,1,0.23123597957463782
-7,1,0.2630822215572834
-6,1,0.2904973367938031
-5,1,0.3541489912168339
-4,1,0.3955847220415587
-3,1,0.46171426050373704
-2,1,0.4951705681490942
-1,1,0.5423759820280127
0,1,
1,1,0.537439143288855
2,1,0.5071518248527349
3,1,0.47996566234501564
4,1,0.403798133643269
5,1,0.38102412742974257
6,1,0.32959522869068103
7,1,0.27898951867470057
8,1,0.25594067824714184
9,1,0.237645208896545
10,1,0.14280699172045797
11,1,0.18147773863225233
12,1,0.17734520951385185
13,1,0.07317723603023658
14,1,0.04819241916983676
-14,2,0.10690452386595752
-13,2,0.0607291962610551
-12,2,0.08000873101764536
-11,2,0.12984787465643638
-10,2,0.15572528132597457
-9,2,0.17742439456959708
-8,2,0.2144824560011416
-7,2,0.2626399243312004
-6,2,0.2907551275685286
-5,2,0.3289902145179961
-4,2,0.36146327607687084
-3,2,0.44176568994114773
-2,2,0.48083836073518194
-1,2,0.550070984140434
0,2,0.5097175718572111
1,2,0.49927373825308075
2,2,0.4611344073130794
3,2,0.44405389034226733
4,2,0.3740654821603478
5,2,0.34320401316503824
6,2,0.2765607827580965
7,2,0.24128708495468004
8,2,0.22908073834676904
9,2,0.2051469562210966
10,2,0.18064132633813051
11,2,0.17313049954191514
12,2,0.17001855341249636
13,2,0.2226737196238687
14,2,0.05345226193297876
-14,3,0.18198333379591342
-13,3,0.045851164669440246
-12,3,0.18699940950179253
-11,3,0.15268209133266183
-10,3,0.1385060463991846
-9,3,0.15162087958305345
-8,3,0.2106325234070458
-7,3,0.2403924354180702
-6,3,0.2547198326930576
-5,3,0.2844349372456824
-4,3,0.33646019553628015
-3,3,0.39847970099307
-2,3,0.43318493843694933
-1,3,0.5046859154718099
0,3,0.4602712413263483
1,3,0.4648331709449675
2,3,0.43890543943974825
3,3,0.37521488893135413
4,3,0.3576017557155713
5,3,0.3186724759882183
6,3,0.2716635022735271
7,3,0.2456183579271587
8,3,0.1959682338027578
9,3,0.19337155656969138
10,3,0.13121625448343804
11,3,0.11451156849949638
12,3,0.16362448331406845
13,3,0.2521814056819213
14,3,0.060661111265304477
-14,4,0.07051631972965516
-13,4,0.08103285130914456
-12,4,0.08484978903016514
-11,4,0.12950822125191502
-10,4,0.1934780290443283
-9,4,0.18729283956409526
-8,4,0.17581931421991068
-7,4,0.207991104005509
-6,4,0.2383504395282481
-5,4,0.2847578772335777
-4,4,0.31737759707546975
-3,4,0.34058537801028815
-2,4,0.37786614748711067
-1,4,0.4098324768608521
0,4,0.40700069063839706
1,4,0.39809903171555167
2,4,0.3630635562144552
3,4,0.3459996800074237
4,4,0.3033653411339479
5,4,0.2667415616265324
6,4,0.2478261450752427
7,4,0.23770411886343884
8,4,0.19423848047152037
9,4,0.17100650568895653
10,4,0.17149188938020007
11,4,0.12189009059003768
12,4,0.05656652602011009
13,4,0.1350547521819076
14,4,0.21154895918896552
-14,5,0.08396093111612898
-13,5,0.09809857425103025
-12,5,0.1522771629153974
-11,5,0.16074841390397557
-10,5,0.1294150484075816
-9,5,0.14293386204751451
-8,5,0.17314482437281656
