theta_deg,phi_deg,AOmega_MC_cm2sr,AOmega_analytic_cm2sr,ratio_MC_over_analytic
1.0,127.50000000000001,0.1888558988847652,0.1890232959144963,0.9991144105866887
1.0,132.5,0.18882719519924432,0.18900555848988476,0.9990563066395215
1.0,137.5,0.18884633098959158,0.18900555848988476,0.999157551229893
1.0,142.5,0.18882719519924526,0.18902329591449726,0.9989625579519008
1.0,147.5,0.18891330625580702,0.1890586407950134,0.9992312726961581
1.0,152.5,0.1889707136268488,0.18911133403051844,0.9992564147231549
1.0,157.5,0.1890520407358247,0.18918098905914352,0.9993183864617682
1.0,162.5,0.1891668554779083,0.1892670943605131,0.9994703839938819
1.0,167.5,0.18927688627240605,0.18936901678368062,0.9995134868795363
1.0,172.5,0.18939170101448868,0.1894860056923915,0.9995023132312162
1.0,177.5,0.18954478733726685,0.1896171979166065,0.9996181223004281
3.0000000000000004,-177.5,0.5574946728007542,0.5574992439011305,0.9999918007056936
3.0000000000000004,-172.5,0.5567066033290764,0.556342000885236,1.0006553566749594
3.0000000000000004,-167.5,0.5557179343555197,0.555311451862186,1.0007319901146836
3.0000000000000004,-162.5,0.5548009080612009,0.5544147059047237,1.0006965943586343
3.0000000000000004,-157.5,0.5540844812687664,0.5536579113075906,1.0007704576281922
3.0000000000000004,-152.5,0.5535256683706676,0.5530462293498709,1.0008669058667308
3.0000000000000004,-147.5,0.5529238698650227,0.5525838131961731,1.000615393829368
3.0000000000000004,-142.5,0.5528952127933282,0.5522737915447284,1.0011252050307542
3.0000000000000004,-137.5,0.5529811840084174,0.5521182566833037,1.001562939306332
3.0000000000000004,-132.5,0.5527662559706872,0.5521182566833037,1.0011736603155927
3.0000000000000004,-127.50000000000001,0.5528522271857793,0.5522737915447257,1.0010473711588517
3.0000000000000004,-122.50000000000001,0.5531817835103019,0.5525838131961759,1.0010821350532642
3.0000000000000004,-117.5,0.5535399969065162,0.5530462293498709,1.000892814253929
3.0000000000000004,-112.5,0.5540844812687664,0.5536579113075906,1.0007704576281922
3.0000000000000004,-107.5,0.5546862797744114,0.5544147059047237,1.0004898388639323
3.0000000000000004,-102.50000000000001,0.5553024068159064,0.5553114518621846,0.999983711759864
3.0000000000000004,-97.5,0.5565776465064383,0.556342000885236,1.0004235625223825
3.0000000000000004,-92.5,0.557938857412065,0.5574992439011319,1.0007885454836796
3.0000000000000004,-87.5,0.5579102003403662,0.5574992439011305,1.0007371425947773
3.0000000000000004,-82.50000000000001,0.5568212316158673,0.5563420008852374,1.0008613959216943
3.0000000000000004,-77.5,0.5558182341064577,0.5553114518621832,1.000912609027916
3.0000000000000004,-72.5,0.5547006083102615,0.5544147059047251,1.00051568330077
3.0000000000000004,-67.5,0.5541847810197073,0.5536579113075906,1.0009516159732503
3.0000000000000004,-62.50000000000001,0.5537835820159454,0.5530462293498724,1.0013332568363043
3.0000000000000004,-57.5,0.5532677547253912,0.5525838131961731,1.0012377154612297
3.0000000000000004,-52.50000000000001,0.5527519274348393,0.5522737915447264,1.0008657587910799
3.0000000000000004,-47.5,0.5526516276838984,0.5521182566833045,1.000966044853865
3.0000000000000004,-42.5,0.5527375988989905,0.5521182566833045,1.0011217564501609
3.0000000000000004,-37.49999999999999,0.5527232703631418,0.5522737915447264,1.0008138695431448
3.0000000000000004,-32.5,0.5528522271857801,0.5525838131961739,1.000485743489397
3.0000000000000004,-27.5,0.5533250688687864,0.5530462293498712,1.0005041884459513
3.0000000000000004,-22.5,0.553683282265004,0.5536579113075913,1.0000458242479597
3.0000000000000004,-17.5,0.5544713517366818,0.5544147059047244,1.0001021723113657
3.0000000000000004,-12.499999999999998,0.5554027065668463,0.5553114518621838,1.0001643306730963
3.0000000000000004,-7.499999999999999,0.5565776465064389,0.5563420008852367,1.0004235625223825
3.0000000000000004,-2.5,0.5574373586573601,0.5574992439011311,0.9998889949278891
3.0000000000000004,2.5,0.557351387442268,0.5574992439011311,0.9997347862611821
3.0000000000000004,7.499999999999999,0.5560474906800373,0.5563420008852367,0.9994706310062323
3.0000000000000004,12.499999999999998,0.5549012078121422,0.5553114518621838,0.9992612361069345
3.0000000000000004,17.5,0.5541991095555567,0.5544147059047244,0.9996111280114479
3.0000000000000004,22.5,0.5533823830121815,0.5536579113075913,0.9995023492127852
3.0000000000000004,27.5,0.5529381984008718,0.5530462293498712,0.9998046619915907
3.0000000000000004,32.5,0.5526086420763523,0.5525838131961739,1.0000449323334948
3.0000000000000004,37.49999999999999,0.5522790857518325,0.5522737915447264,1.0000095862001548
3.0000000000000004,42.5,0.5521501289291944,0.5521182566833045,1.0000577272088071
3.0000000000000004,47.5,0.5520498291782535,0.5521182566833045,0.9998760636797956
3.0000000000000004,52.50000000000001,0.5522217716084378,0.5522737915447264,0.9999058077042853
3.0000000000000004,57.5,0.5525943135405029,0.5525838131961731,1.000019002265501
3.0000000000000004,62.50000000000001,0.5529095413291755,0.5530462293498724,0.9997528452171935
3.0000000000000004,67.5,0.5533823830121807,0.5536579113075906,0.9995023492127852
3.0000000000000004,72.5,0.5538695532310376,0.5544147059047251,0.9990167059641791
3.0000000000000004,77.5,0.554929864883839,0.5553114518621832,0.9993128415107151
3.0000000000000004,82.50000000000001,0.5558612197140053,0.5563420008852374,0.9991358172302879
3.0000000000000004,87.5,0.5569931740460501,0.5574992439011305,0.9990922501499031
3.0000000000000004,92.5,0.557021831117749,0.5574992439011319,0.9991436530388055
3.0000000000000004,97.5,0.55557464899703,0.556342000885236,0.99862071911345
3.0000000000000004,102.50000000000001,0.5544283661291364,0.5553114518621846,0.9984097469445536
3.0000000000000004,107.5,0.5538122390876413,0.5544147059047237,0.9989133282168278
3.0000000000000004,112.5,0.5532390976536938,0.5536579113075906,0.9992435515769881
3.0000000000000004,117.5,0.5525656564688055,0.5530462293498709,0.9991310439244286
3.0000000000000004,122.50000000000001,0.5524223711103214,0.5525838131961759,0.99970784144957
3.0000000000000004,127.50000000000001,0.5522504286801343,0.5522737915447257,0.99995769695222
3.0000000000000004,132.5,0.5521358003933449,0.5521182566833037,1.0000317752760912
3.0000000000000004,137.5,0.5523793855027725,0.5521182566833037,1.0004729581322622
3.0000000000000004,142.5,0.5523650569669267,0.5522737915447284,1.0001652539439596
3.0000000000000004,147.5,0.5526086420763516,0.5525838131961731,1.000044932333495
3.0000000000000004,152.5,0.5530671552235096,0.5530462293498709,1.0000378374763774
3.0000000000000004,157.5,0.5536976108008519,0.5536579113075906,1.0000717040115394
3.0000000000000004,162.5,0.5544426946649836,0.5544147059047237,1.0000504834376898
3.0000000000000004,167.5,0.5551304643857234,0.555311451862186,0.9996740793371798
3.0000000000000004,172.5,0.5560618192158854,0.556342000885236,0.9994963859120742
3.0000000000000004,177.5,0.557365715978116,0.5574992439011305,0.9997604877056333
5.000000000000001,-177.5,0.9095723463076795,0.9087845434978526,1.0008668752296277
5.000000000000001,-172.5,0.9069777847629413,0.9056379053253644,1.001479486922641
5.000000000000001,-167.5,0.9045736497536013,0.9028397508076751,1.0019204946884264
5.000000000000001,-162.5,0.9019790882088585,0.9004079773029413,1.0017448878125483
5.000000000000001,-157.5,0.9003604626580127,0.8983579601973941,1.002229069646334
5.000000000000001,-152.5,0.898075344233289,0.8967025310498624,1.0015309571857898
5.000000000000001,-147.5,0.8970279982886241,0.8954519641103285,1.001760043242366
