theta_deg,phi_deg,AOmega_MC_withcos_cm2sr,AOmega_analytic_withcos_cm2sr,ratio_MC_over_analytic_withcos,AOmega_MC_nocos_cm2sr,AOmega_analytic_nocos_cm2sr,ratio_MC_over_analytic_nocos,ratio_withcos_over_nocos_MC
3.0000000000000004,-57.5,0.5531292455455206,0.5525838131961731,1.0009870581372853,0.553888330251978,0.5533421493807288,1.0009870581372855,0.9986295347545738
3.0000000000000004,-52.50000000000001,0.5527949130423853,0.5522737915447264,1.000943592662982,0.5535535389289701,0.5530317022723095,1.000943592662982,0.9986295347545738
3.0000000000000004,-47.5,0.5526134182549686,0.5521182566833045,1.000896839699956,0.5533717950679082,0.552875953963243,1.000896839699956,0.9986295347545738
3.0000000000000004,-42.5,0.5526038658977361,0.5521182566833045,1.0008795384114788,0.5533622296015366,0.552875953963243,1.0008795384114788,0.9986295347545738
3.0000000000000004,-37.49999999999999,0.5527089418272931,0.5522737915447264,1.0007879249191773,0.553467449731625,0.5530317022723095,1.0007879249191776,0.9986295347545738
3.0000000000000004,-32.5,0.5528904366147098,0.5525838131961739,1.0005548903373813,0.5536491935926868,0.5533421493807296,1.0005548903373815,0.9986295347545738
3.0000000000000004,-27.5,0.5532056644033806,0.5530462293498712,1.0002882852192967,0.5539648539829518,0.5538052001293848,1.0002882852192967,0.9986295347545738
3.0000000000000004,-22.5,0.5536068634071443,0.5536579113075913,0.9999077988422012,0.5543666035705627,0.5544177215263916,0.9999077988422012,0.9986295347545738
3.0000000000000004,-17.5,0.5544188137719033,0.5544147059047244,1.0000074093762938,0.5551796682121553,0.5551755547075613,1.0000074093762938,0.9986295347545738
3.0000000000000004,-12.499999999999998,0.5551734499932673,0.5553114518621838,0.9997514874428509,0.5559353400555176,0.5560735313107464,0.9997514874428511,0.9986295347545738
3.0000000000000004,-7.499999999999999,0.5562146569316054,0.5563420008852367,0.9997711049077211,0.5569779758900305,0.5571054946036269,0.999771104907721,0.9986295347545738
3.0000000000000004,-2.5,0.5573418350850355,0.5574992439011311,0.9997176519648814,0.5581067009218884,0.5582643257573427,0.9997176519648815,0.9986295347545739
3.0000000000000004,2.5,0.5573609397995004,0.5574992439011311,0.9997519205574829,0.5581258318546317,0.5582643257573427,0.999751920557483,0.9986295347545739
3.0000000000000004,7.499999999999999,0.5559376385718642,0.5563420008852367,0.9992731767281113,0.5567005773652519,0.5571054946036269,0.9992731767281113,0.9986295347545738
3.0000000000000004,12.499999999999998,0.5550301646347804,0.5553114518621838,0.9994934604239475,0.5557918580599424,0.5560735313107464,0.9994934604239476,0.9986295347545738
3.0000000000000004,17.5,0.5541322430549295,0.5544147059047244,0.9994905206395382,0.5548927042210049,0.5551755547075613,0.9994905206395382,0.9986295347545738
3.0000000000000004,22.5,0.5532247691178459,0.5536579113075913,0.9992176718134083,0.5539839849156956,0.5544177215263916,0.9992176718134084,0.9986295347545738
3.0000000000000004,27.5,0.5527662559706876,0.5530462293498712,0.9994937613452084,0.5535248425298547,0.5538052001293848,0.9994937613452083,0.998629534754574
3.0000000000000004,32.5,0.5524032663958545,0.5525838131961739,0.9996732680255777,0.5531613548077313,0.5533421493807296,0.9996732680255777,0.9986295347545738
3.0000000000000004,37.49999999999999,0.5521835621795079,0.5522737915447264,0.9998366220403722,0.5529413490811828,0.5530317022723095,0.9998366220403723,0.9986295347545738
3.0000000000000004,42.5,0.5521931145367405,0.5521182566833045,1.0001355830069552,0.5529509145475544,0.552875953963243,1.000135583006955,0.998629534754574
3.0000000000000004,47.5,0.5522504286801351,0.5521182566833045,1.0002393907378186,0.5530083073457844,0.552875953963243,1.0002393907378186,0.9986295347545738
3.0000000000000004,52.50000000000001,0.5524701328964817,0.5522737915447264,1.0003555145197205,0.5532283130723331,0.5530317022723095,1.0003555145197207,0.9986295347545738
3.0000000000000004,57.5,0.5528140177568495,0.5525838131961731,1.0004165966414122,0.5535726698617127,0.5533421493807288,1.0004165966414125,0.9986295347545738
3.0000000000000004,62.50000000000001,0.5531483502599869,0.5530462293498724,1.0001846516705024,0.5539074611847229,0.5538052001293859,1.0001846516705026,0.9986295347545736
3.0000000000000004,67.5,0.5538170152662576,0.5536579113075906,1.0002873687080371,0.5545770438307388,0.5544177215263909,1.0002873687080371,0.9986295347545738
3.0000000000000004,72.5,0.5543519472712767,0.5544147059047251,0.9998868020043841,0.5551127099475542,0.555175554707562,0.9998868020043843,0.9986295347545736
3.0000000000000004,77.5,0.5553167353517536,0.5553114518621832,1.0000095144617542,0.5560788220510922,0.5560735313107459,1.0000095144617545,0.9986295347545738
3.0000000000000004,82.50000000000001,0.556357942290093,0.5563420008852374,1.00002865396614,0.5571214578856064,0.5571054946036277,1.0000286539661398,0.9986295347545738
3.0000000000000004,87.5,0.5574851204435218,0.5574992439011305,0.9999746664093931,0.558250182917463,0.5582643257573421,0.9999746664093933,0.9986295347545739
3.0000000000000004,92.5,0.5575328822296854,0.5574992439011319,1.0000603378908968,0.5582980102493228,0.5582643257573435,1.000060337890897,0.9986295347545737
3.0000000000000004,97.5,0.5563006281466969,0.556342000885236,0.9999256343427725,0.5570640650873749,0.5571054946036262,0.9999256343427724,0.9986295347545738
3.0000000000000004,102.50000000000001,0.555211659422198,0.5553114518621846,0.9998202946478918,0.5559736019210051,0.5560735313107473,0.9998202946478918,0.9986295347545738
3.0000000000000004,107.5,0.5545238897014596,0.5544147059047237,1.0001969352464375,0.555284888342243,0.5551755547075605,1.0001969352464375,0.9986295347545738
3.0000000000000004,112.5,0.5539125388385822,0.5536579113075906,1.0004599004652353,0.5546726984944556,0.5544177215263909,1.0004599004652353,0.9986295347545738
3.0000000000000004,117.5,0.553262978546775,0.5530462293498709,1.0003919187680907,0.5540222467811815,0.5538052001293845,1.0003919187680907,0.9986295347545738
3.0000000000000004,122.50000000000001,0.5529286460436418,0.5525838131961759,1.0006240371853663,0.5536874554581757,0.5533421493807316,1.0006240371853663,0.9986295347545738
3.0000000000000004,127.50000000000001,0.5527758083279196,0.5522737915447257,1.0009089998310254,0.553534407996226,0.5530317022723088,1.0009089998310254,0.9986295347545738
3.0000000000000004,132.5,0.5525561041115731,0.5521182566833037,1.0007930319690923,0.5533144022696774,0.5528759539632422,1.0007930319690923,0.9986295347545738
3.0000000000000004,137.5,0.5526229706122003,0.5521182566833037,1.0009141409884335,0.5533813605342791,0.5528759539632422,1.0009141409884332,0.998629534754574
3.0000000000000004,142.5,0.5525465517543434,0.5522737915447284,1.000493885847547,0.5533048368033086,0.5530317022723116,1.0004938858475467,0.9986295347545738
3.0000000000000004,147.5,0.5526993894700599,0.5525838131961731,1.0002091560974584,0.5534578842652526,0.5533421493807288,1.0002091560974584,0.9986295347545738
3.0000000000000004,152.5,0.5531865596889153,0.5530462293498709,1.0002537407030319,0.5539457230502081,0.5538052001293845,1.0002537407030319,0.9986295347545738
3.0000000000000004,157.5,0.5536928346222356,0.5536579113075906,1.0000630774236794,0.554452692767907,0.5544177215263909,1.0000630774236794,0.9986295347545738
3.0000000000000004,162.5,0.5546671750599464,0.5544147059047237,1.000455379614815,0.5554283703378181,0.5551755547075605,1.0004553796148152,0.9986295347545738
3.0000000000000004,167.5,0.5555364395681031,0.555311451862186,1.0004051558907394,0.5562988277776436,0.5560735313107488,1.0004051558907394,0.9986295347545738
3.0000000000000004,172.5,0.5563865993617889,0.556342000885236,1.0000801637778236,0.55715015428472,0.5571054946036262,1.0000801637778238,0.9986295347545737
3.0000000000000004,177.5,0.5578003482321928,0.5574992439011305,1.0005400981873183,0.5585658433077283,0.5582643257573421,1.0005400981873187,0.9986295347545737
5.000000000000001,-177.5,0.9096675595753764,0.9087845434978526,1.000971645131777,0.9131423418714076,0.9122559528159195,1.000971645131777,0.9961946980917454
5.000000000000001,-172.5,0.9066366038870278,0.9056379053253644,1.0011027570244033,0.9100998084247284,0.9090972949968047,1.001102757024403,0.9961946980917457
5.000000000000001,-167.5,0.9044784364859044,0.9028397508076751,1.0018150349237098,0.9079333971747414,0.9062884519834367,1.0018150349237098,0.9961946980917455
5.000000000000001,-162.5,0.9020187604037322,0.9004079773029413,1.0017889480562088,0.905464325529526,0.9038473894989726,1.0017889480562088,0.9961946980917455
5.000000000000001,-157.5,0.900257314951341,0.8983579601973941,1.0021142515991392,0.9036961516416653,0.9017895416611211,1.0021142515991392,0.9961946980917454
5.000000000000001,-152.5,0.8983371807194552,0.8967025310498624,1.0018229564576773,0.9017686828089523,0.9001277890431812,1.0018229564576773,0.9961946980917455
5.000000000000001,-147.5,0.8971946215070935,0.8954519641103285,1.0019461204694509,0.9006217592060156,0.8988724451411013,1.0019461204694506,0.9961946980917455
5.000000000000001,-142.5,0.8960996689285847,0.8946139687574256,1.0016607164911842,0.8995226240865393,0.8980312487820882,1.0016607164911842,0.9961946980917455
5.000000000000001,-137.5,0.8954649138106013,0.894193685766353,1.001421647305817,0.8988854443071254,0.8976093603782676,1.0014216473058168,0.9961946980917455
5.000000000000001,-132.5,0.8954331760547024,0.894193685766353,1.0013861541499112,0.898853585318155,0.8976093603782676,1.0013861541499112,0.9961946980917455
5.000000000000001,-127.50000000000001,0.8956394714680456,0.894613968757421,1.00114630750965,0.8990606687464631,0.8980312487820836,1.0011463075096503,0.9961946980917454
5.000000000000001,-122.50000000000001,0.896480521999372,0.8954519641103331,1.0011486466390866,0.8999049319541849,0.898872445141106,1.0011486466390866,0.9961946980917455
5.000000000000001,-117.5,0.8975913434558302,0.8967025310498624,1.0009912009559372,0.9010199965681464,0.9001277890431812,1.000991200955937,0.9961946980917457
5.000000000000001,-112.5,0.8993210511523223,0.8983579601973941,1.0010720570169118,0.9027563114670366,0.9017895416611211,1.0010720570169118,0.9961946980917455
5.000000000000001,-107.5,0.9008444634354714,0.9004079773029413,1.0004847648438628,0.9042855429376189,0.9038473894989726,1.0004847648438628,0.9961946980917455
5.000000000000001,-102.50000000000001,0.9031295818601974,0.9028397508076729,1.0003210215902272,0.9065793901434945,0.9062884519834344,1.000321021590227,0.9961946980917457
5.000000000000001,-97.5,0.9056051268203122,0.9056379053253644,0.9999638061692655,0.9090643912831883,0.9090972949968047,0.9999638061692654,0.9961946980917457
5.000000000000001,-92.5,0.9086360825086632,0.9087845434978551,0.9998366378584956,0.91210692472987,0.912255952815922,0.9998366378584957,0.9961946980917454
5.000000000000001,-87.5,0.9086519513866104,0.9087845434978526,0.999854099508854,0.9121228542243528,0.9122559528159195,0.999854099508854,0.9961946980917455
5.000000000000001,-82.50000000000001,0.9057796844777587,0.9056379053253668,1.0001565516985964,0.9092396157225282,0.9090972949968071,1.0001565516985964,0.9961946980917455
5.000000000000001,-77.5,0.9032247951278919,0.9028397508076705,1.0004264813549435,0.9066749671104036,0.906288451983432,1.0004264813549435,0.9961946980917455
5.000000000000001,-72.5,0.9010507588488169,0.9004079773029438,1.0007138781108964,0.9044926263659292,0.9038473894989749,1.0007138781108966,0.9961946980917457
5.000000000000001,-67.5,0.8990830179830804,0.8983579601973941,1.0008070922926169,0.9025173690497582,0.9017895416611211,1.0008070922926167,0.9961946980917457
