theta_x_deg,theta_y_deg,counts
-24.054991802544947,12.02749590127247,14
-24.054991802544947,15.463923301636033,7
-24.054991802544947,18.9003507019996,7
-24.054991802544947,22.336778102363162,6
-24.054991802544947,24.054991802544944,11
-24.054991802544947,27.49141920290851,12
-24.054991802544947,29.209632903090288,5
-24.054991802544947,32.64606030345386,5
-24.054991802544947,34.364274003635636,5
-24.054991802544947,36.082487703817414,4
-24.054991802544947,37.8007014039992,2
-22.33677810236317,-36.08248770381742,2
-22.33677810236317,-34.36427400363564,3
-22.33677810236317,-32.64606030345386,2
-22.33677810236317,-29.209632903090295,5
-22.33677810236317,-27.49141920290851,3
-22.33677810236317,-24.054991802544947,5
-22.33677810236317,-22.33677810236317,5
-22.33677810236317,-18.900350701999603,9
-22.33677810236317,-15.463923301636038,9
-22.33677810236317,-12.027495901272475,6
-22.33677810236317,-10.309282201090694,10
-22.33677810236317,-6.872854800727129,15
-22.33677810236317,-3.4364274003635664,10
-22.33677810236317,-3.552713678800501e-15,17
-22.33677810236317,3.436427400363563,12
-22.33677810236317,6.872854800727126,21
-22.33677810236317,10.309282201090689,20
-22.33677810236317,12.02749590127247,7
-22.33677810236317,15.463923301636033,21
-22.33677810236317,18.9003507019996,15
-22.33677810236317,22.336778102363162,16
-22.33677810236317,24.054991802544944,15
-22.33677810236317,27.49141920290851,4
-22.33677810236317,29.209632903090288,10
-22.33677810236317,32.64606030345386,8
-22.33677810236317,34.364274003635636,5
-22.33677810236317,36.082487703817414,3
-22.33677810236317,37.8007014039992,1
-18.900350701999603,-36.08248770381742,1
-18.900350701999603,-32.64606030345386,2
-18.900350701999603,-29.209632903090295,5
-18.900350701999603,-27.49141920290851,6
-18.900350701999603,-24.054991802544947,5
-18.900350701999603,-22.33677810236317,7
-18.900350701999603,-18.900350701999603,4
-18.900350701999603,-15.463923301636038,15
-18.900350701999603,-12.027495901272475,10
-18.900350701999603,-10.309282201090694,13
-18.900350701999603,-6.872854800727129,24
-18.900350701999603,-3.4364274003635664,15
-18.900350701999603,-3.552713678800501e-15,25
-18.900350701999603,3.436427400363563,18
-18.900350701999603,6.872854800727126,15
-18.900350701999603,10.309282201090689,17
-18.900350701999603,12.02749590127247,11
-18.900350701999603,15.463923301636033,19
-18.900350701999603,18.9003507019996,6
-18.900350701999603,22.336778102363162,12
-18.900350701999603,24.054991802544944,19
-18.900350701999603,27.49141920290851,9
-18.900350701999603,29.209632903090288,10
-18.900350701999603,32.64606030345386,9
-18.900350701999603,34.364274003635636,5
-18.900350701999603,37.8007014039992,3
-15.463923301636038,-37.8007014039992,1
-15.463923301636038,-34.36427400363564,3
-15.463923301636038,-29.209632903090295,5
-15.463923301636038,-27.49141920290851,5
-15.463923301636038,-24.054991802544947,3
-15.463923301636038,-22.33677810236317,9
-15.463923301636038,-18.900350701999603,12
-15.463923301636038,-15.463923301636038,12
-15.463923301636038,-12.027495901272475,9
-15.463923301636038,-10.309282201090694,15
-15.463923301636038,-6.872854800727129,18
-15.463923301636038,-3.4364274003635664,16
-15.463923301636038,-3.552713678800501e-15,27
